agent_id,setting,n_trajectories,epsilon
anthropic/claude-haiku-4-5,no_injection,90,0.44177101236981176
anthropic/claude-haiku-4-5,with_injection,90,0.40332878393877536
openai/gpt-4o,no_injection,90,0.6611099434086352
openai/gpt-4o,with_injection,90,0.5874855104420469
openai/gpt-4o-mini,no_injection,90,1.3283993700703678
openai/gpt-4o-mini,with_injection,90,1.0694639262764327
openai/gpt-5.1,no_injection,90,0.4261312645573635
openai/gpt-5.1,with_injection,90,0.3963557531254341
openai/o3,no_injection,30,0.18763456141778856
openai/o3,with_injection,30,0.2727274103084564
openai/o4-mini,no_injection,30,0.5323101326861938
openai/o4-mini,with_injection,30,0.5129501666944081
oss/qwen2.5-7b-instruct-yuezhao,no_injection,60,0.28886619103617134
oss/qwen2.5-7b-instruct-yuezhao,with_injection,55,0.2931774852434794
