agent_id,capability,median_abs_rho,median_abs_rho_ci_high,median_abs_rho_ci_low,median_rho,median_rho_ci_high,median_rho_ci_low,n_decided,n_rho,n_total,pass_rate,pass_rate_ci_high,pass_rate_ci_low,setting,underpowered
anthropic/claude-haiku-4-5,T1.1,,,,,,,30,,30,0.0,0.113517091390478,0,no_injection,False
anthropic/claude-haiku-4-5,T1.1,,,,,,,30,,30,1.0,1,0.8864829086095221,with_injection,False
anthropic/claude-haiku-4-5,T1.2,,,,,,,,0,30,,,,no_injection,True
anthropic/claude-haiku-4-5,T1.2,,,,,,,,0,30,,,,with_injection,True
anthropic/claude-haiku-4-5,T1.3,,,,,,,,0,30,,,,no_injection,True
anthropic/claude-haiku-4-5,T1.3,,,,,,,,0,30,,,,with_injection,True
anthropic/claude-haiku-4-5,T2.1,,,,,,,,0,30,,,,no_injection,True
anthropic/claude-haiku-4-5,T2.1,,,,,,,,0,30,,,,with_injection,True
anthropic/claude-haiku-4-5,T2.2,,,,,,,,0,30,,,,no_injection,True
anthropic/claude-haiku-4-5,T2.2,,,,,,,,0,30,,,,with_injection,True
anthropic/claude-haiku-4-5,T2.3,,,,,,,,0,30,,,,no_injection,True
anthropic/claude-haiku-4-5,T2.3,,,,,,,,0,30,,,,with_injection,True
anthropic/claude-haiku-4-5,T3.1,0.462641695933729,0.5281034453090311,0.2344180332451714,0.462641695933729,0.5281034453090311,0.2344180332451714,,29,30,,,,no_injection,False
anthropic/claude-haiku-4-5,T3.1,0.34335690514270095,0.37425400084294463,0.2742388742814009,0.34335690514270095,0.37425400084294463,0.2742388742814009,,29,30,,,,with_injection,False
anthropic/claude-haiku-4-5,T3.2,,,,,,,,0,30,,,,no_injection,True
anthropic/claude-haiku-4-5,T3.2,,,,,,,,0,30,,,,with_injection,True
anthropic/claude-haiku-4-5,T3.3,,,,,,,,0,30,,,,no_injection,True
anthropic/claude-haiku-4-5,T3.3,,,,,,,,0,30,,,,with_injection,True
anthropic/claude-sonnet-4-6,T1.1,,,,,,,60,,60,0.0,0.06017393047793289,0,no_injection,False
anthropic/claude-sonnet-4-6,T1.1,,,,,,,60,,60,1.0,0.9999999999999999,0.9398260695220669,with_injection,False
anthropic/claude-sonnet-4-6,T1.2,,,,,,,,0,60,,,,no_injection,True
anthropic/claude-sonnet-4-6,T1.2,,,,,,,,0,60,,,,with_injection,True
anthropic/claude-sonnet-4-6,T1.3,,,,,,,,0,60,,,,no_injection,True
anthropic/claude-sonnet-4-6,T1.3,,,,,,,,0,60,,,,with_injection,True
anthropic/claude-sonnet-4-6,T2.1,,,,,,,,0,60,,,,no_injection,True
anthropic/claude-sonnet-4-6,T2.1,,,,,,,,0,60,,,,with_injection,True
anthropic/claude-sonnet-4-6,T2.2,,,,,,,,0,60,,,,no_injection,True
anthropic/claude-sonnet-4-6,T2.2,,,,,,,,0,60,,,,with_injection,True
anthropic/claude-sonnet-4-6,T2.3,,,,,,,,0,60,,,,no_injection,True
anthropic/claude-sonnet-4-6,T2.3,,,,,,,,0,60,,,,with_injection,True
anthropic/claude-sonnet-4-6,T3.1,0.14821080011470011,0.23573452350622026,0.10012227232859729,0.005378299814106838,0.10957296101033917,-0.062268780488237765,,38,60,,,,no_injection,False
anthropic/claude-sonnet-4-6,T3.1,0.18782282158200844,0.25876893552677355,0.09583091786465235,-0.13019189932477812,-0.05986733620795528,-0.2565781299996779,,46,60,,,,with_injection,False
anthropic/claude-sonnet-4-6,T3.2,0.22390837984360062,0.27623862378919284,0.19570153262686013,0.22390837984360062,0.27623862378919284,0.19570153262686013,,30,60,,,,no_injection,False
anthropic/claude-sonnet-4-6,T3.2,0.1695130655897629,0.1874647434649244,0.1368217765241919,0.15781674583851008,0.18143489383441047,0.1021736199544557,,30,60,,,,with_injection,False
anthropic/claude-sonnet-4-6,T3.3,0.2548830806391431,0.3669878418589661,0.19908930579614587,-0.23639860264254883,-0.07255826594774749,-0.3669878418589661,,28,60,,,,no_injection,False
