agent,eps_A,eps_B,car_A,rho_A,car_B,rho_B,n_car_A,n_rho_A,n_car_B,n_rho_B
Claude Sonnet 4.6,0.5364,0.5366,0.9503,0.1225,0.9501,0.123,30,28,30,30
Claude Sonnet 4.6 + thinking,0.5663,0.5854,0.9183,0.2143,0.919,0.2517,30,10,30,16
GLM-5.2-FP8,0.6204,0.639,0.988,0.2528,0.9874,0.2906,30,28,30,29
gpt-5.1,0.6636,0.5685,0.9831,0.3441,0.984,0.153,30,11,30,13
o3 (reasoning),0.7195,0.7194,0.9857,0.4534,0.9831,0.4558,30,21,30,14
Claude Haiku 4.5,0.7227,0.6593,0.9828,0.4626,0.9753,0.3434,30,29,30,29
Kimi-K2.6,0.9196,0.9754,0.9761,0.8631,0.9791,0.9717,30,14,30,20
MiniMax-M2.7,0.9208,0.6558,0.9888,0.8528,0.99,0.3217,30,13,30,9
Qwen3.6-27B,0.9652,0.9641,0.9836,0.9468,0.9838,0.9445,30,30,30,30
gpt-4o,1.0324,0.8796,0.9959,1.0688,0.9957,0.7635,30,30,30,30
gpt-4o-mini,1.055,1.0521,0.9927,1.1173,0.9931,1.111,30,30,30,30
o4-mini (reasoning),1.2637,1.2477,0.9921,1.5354,0.9929,1.5025,30,41,30,34
Qwen2.5-7B,1.2749,1.2107,0.9857,1.5641,0.9835,1.4379,30,30,30,27
